Lon,Lat
143.935,-39.585
143.945,-39.585
143.955,-39.585
143.965,-39.585
143.935,-39.595
143.945,-39.595
143.955,-39.595
143.965,-39.595
143.975,-39.595
144.005,-39.595
143.935,-39.605
143.945,-39.605
143.955,-39.605
143.965,-39.605
143.975,-39.605
143.985,-39.605
143.995,-39.605
144.005,-39.605
143.935,-39.615
143.945,-39.615
143.965,-39.615
143.975,-39.615
143.985,-39.615
143.995,-39.615
144.005,-39.615
144.015,-39.615
144.025,-39.615
143.935,-39.625
143.945,-39.625
143.965,-39.625
143.975,-39.625
143.985,-39.625
143.995,-39.625
144.005,-39.625
144.015,-39.625
144.025,-39.625
144.035,-39.625
144.045,-39.625
143.935,-39.635
143.945,-39.635
143.955,-39.635
143.965,-39.635
143.975,-39.635
143.985,-39.635
143.995,-39.635
144.005,-39.635
144.015,-39.635
144.025,-39.635
144.035,-39.635
144.045,-39.635
144.055,-39.635
143.935,-39.645
143.945,-39.645
143.955,-39.645
143.965,-39.645
143.975,-39.645
143.985,-39.645
143.995,-39.645
144.005,-39.645
144.015,-39.645
144.025,-39.645
144.035,-39.645
144.045,-39.645
144.055,-39.645
144.065,-39.645
144.075,-39.645
147.985,-39.645
147.995,-39.645
148.005,-39.645
143.935,-39.655
143.945,-39.655
143.955,-39.655
143.965,-39.655
143.975,-39.655
143.985,-39.655
143.995,-39.655
144.005,-39.655
144.015,-39.655
144.025,-39.655
144.035,-39.655
144.045,-39.655
144.055,-39.655
144.065,-39.655
144.075,-39.655
144.085,-39.655
147.975,-39.655
147.985,-39.655
147.995,-39.655
143.825,-39.665
143.835,-39.665
143.925,-39.665
143.935,-39.665
143.945,-39.665
143.955,-39.665
143.965,-39.665
143.975,-39.665
143.985,-39.665
143.995,-39.665
144.005,-39.665
144.015,-39.665
144.025,-39.665
144.035,-39.665
144.045,-39.665
144.055,-39.665
144.065,-39.665
144.085,-39.665
144.095,-39.665
144.105,-39.665
143.825,-39.675
143.915,-39.675
143.925,-39.675
143.935,-39.675
143.945,-39.675
143.955,-39.675
143.965,-39.675
143.975,-39.675
